FILE_DATE active resolved deaths new act.p res.p death.p new.p beta Date roll_mean roll_geo DailyMean
2020-04-01 1703 689 0 426 0.000116884008236102 4.72889498970487e-05 0 2.92381606039808e-05 0.287916823639189 2020-04-01 NA 0.287916823639189 6.1
2020-04-02 1909 831 53 401 0.000131022649279341 5.7035003431709e-05 3.63761153054221e-06 2.7522306108442e-05 0.235830123348577 2020-04-02 NA 0.260575248312191 8.8
2020-04-03 2165 1023 67 462 0.000148592999313658 7.02127659574468e-05 4.59849004804393e-06 3.17089910775566e-05 0.240069280789839 2020-04-03 NA 0.253552348395044 7.5
2020-04-04 2317 1219 94 375 0.000159025394646534 8.36650652024708e-05 6.45161290322581e-06 2.57378174330817e-05 0.176585591492672 2020-04-04 0.199300206987885 0.23162719296719 9
2020-04-05 2470 1449 119 408 0.000169526424159231 9.94509265614276e-05 8.16746739876458e-06 2.80027453671929e-05 0.180575318447787 2020-04-05 0.186811617526209 0.220375501270038 7.4
2020-04-06 2591 1624 132 309 0.000177831159917639 0.000111461908030199 9.05971173644475e-06 2.12079615648593e-05 0.127015737295976 2020-04-06 0.176080983855134 0.201038398782355 7.2
2020-04-07 2771 1802 153 379 0.000190185312285518 0.000123678792038435 1.05010295126973e-05 2.60123541523679e-05 0.147108573901157 2020-04-07 0.163156511592306 0.192265661449399 9.5
2020-04-08 3028 2074 174 550 0.000207824296499657 0.000142347288949897 1.19423472889499e-05 3.77487989018531e-05 0.200496697407457 2020-04-08 0.155580942917111 0.182578789617575 10.4
2020-04-09 3254 2305 200 483 0.000223335621139327 0.000158201784488675 1.37268359643102e-05 3.31503088538092e-05 0.16071568765105 2020-04-09 0.146395288983209 0.172845768218083 6.1
2020-04-10 3441 2574 222 478 0.000236170212765957 0.000176664378860673 1.52367879203844e-05 3.28071379547014e-05 0.149597974950045 2020-04-10 0.144926873483047 0.161552744462301 4.5
2020-04-11 3537 2858 253 411 0.000242759094028826 0.000196156485929993 1.73644474948524e-05 2.82086479066575e-05 0.123556610766304 2020-04-11 0.142053678444642 0.153517796840219 4.8
2020-04-12 3654 3121 274 401 0.000250789293067948 0.000214207275223061 1.8805765271105e-05 2.7522306108442e-05 0.116275740910474 2020-04-12 0.131475924814597 0.144161347430759 9
2020-04-13 3822 3357 291 421 0.000262319835277968 0.000230404941660947 1.99725463280714e-05 2.8894989704873e-05 0.116736828794843 2020-04-13 0.126512371902352 0.142433835645222 9.1
2020-04-14 4051 3568 334 483 0.000278037062457104 0.000244886753603294 2.29238160603981e-05 3.31503088538092e-05 0.126996208632323 2020-04-14 0.124318935145733 0.139473640500668 4
2020-04-15 4160 3902 385 494 0.000285518188057653 0.000267810569663693 2.64241592312972e-05 3.39052848318463e-05 0.126452421997143 2020-04-15 0.122513592453921 0.13058550828921 2
2020-04-16 4344 4194 423 514 0.000298146877144818 0.000287851750171585 2.90322580645161e-05 3.52779684282773e-05 0.125970817265334 2020-04-16 0.123837008602198 0.126119536537414 1.6
2020-04-17 4491 4556 478 564 0.000308236101578586 0.000312697323266987 3.28071379547014e-05 3.87096774193548e-05 0.134243917653709 2020-04-17 0.125294958679788 0.124183426261049 2.5
2020-04-18 4621 4875 514 485 0.000317158544955388 0.000334591626630062 3.52779684282773e-05 3.32875772134523e-05 0.110919211923618 2020-04-18 0.122818637253069 0.122283951722637 5
2020-04-19 4816 5209 553 568 0.00033054221002059 0.00035751544269046 3.79547014413178e-05 3.8984214138641e-05 0.125539653948416 2020-04-19 0.119029146687524 0.123630446580666 6.8
2020-04-20 5085 5515 584 606 0.000349004804392588 0.000378517501715854 4.00823610157859e-05 4.159231297186e-05 0.12694247933797 2020-04-20 0.118584407954003 0.125119588475516 2.9
2020-04-21 5307 5806 622 551 0.000364241592312972 0.000398490048043926 4.26904598490048e-05 3.78174330816747e-05 0.109661958645289 2020-04-21 0.11652686847947 0.122523767349888 3.4
2020-04-22 5365 6221 659 510 0.000368222374742622 0.00042697323266987 4.52299245024022e-05 3.50034317089911e-05 0.0999259880383269 2020-04-22 0.113201261045235 0.118471362925528 2.4
2020-04-23 5486 6680 713 634 0.00037652711050103 0.000458476321207962 4.8936170212766e-05 4.35140700068634e-05 0.122857646130693 2020-04-23 0.106885128546329 0.118048601939006 2.8
2020-04-24 5669 7087 763 640 0.000389087165408373 0.000486410432395333 5.23678792038435e-05 4.39258750857927e-05 0.119841141331974 2020-04-24 0.100349544784681 0.116150105303253 8.3
2020-04-25 5675 7509 811 476 0.000389498970487303 0.000515374056280027 5.5662319835278e-05 3.26698695950583e-05 0.0876399598839712 2020-04-25 0.0991148724274628 0.11230644090699 7.8
